1000 , 2 , 0.028049
2000 , 3 , 0.114568
3000 , 8 , 0.137481
4000 , 8 , 0.12721
5000 , 7 , 0.121284
6000 , 11 , 0.138271
7000 , 12 , 0.139061
8000 , 27 , 0.176988
9000 , 14 , 0.219259
10000 , 40 , 0.370963
11000 , 29 , 0.249679
12000 , 28 , 0.177383
13000 , 78 , 0.161185
14000 , 43 , 0.148148
15000 , 83 , 0.280494
16000 , 80 , 0.230716
17000 , 56 , 0.128
18000 , 74 , 0.100346
19000 , 114 , 0.112592
20000 , 127 , 0.118519
21000 , 124 , 0.104691
22000 , 96 , 0.06242
23000 , 102 , 0.09995
24000 , 113 , 0.075457
25000 , 123 , 0.071111
26000 , 130 , 0.074272
27000 , 144 , 0.073876
28000 , 156 , 0.112197
29000 , 165 , 0.084543
30000 , 178 , 0.116148
31000 , 203 , 0.180543
32000 , 225 , 0.091655
33000 , 243 , 0.155259
34000 , 245 , 0.136296
35000 , 253 , 0.09916
36000 , 277 , 0.158815
37000 , 280 , 0.152888
38000 , 276 , 0.110617
39000 , 292 , 0.120888
40000 , 305 , 0.12563
41000 , 322 , 0.121284
42000 , 338 , 0.120493
43000 , 359 , 0.173432
44000 , 364 , 0.131951
45000 , 409 , 0.148939
46000 , 372 , 0.116148
47000 , 386 , 0.251654
48000 , 477 , 0.121284
49000 , 412 , 0.121679
50000 , 550 , 0.163555
51000 , 511 , 0.172642
52000 , 541 , 0.133135
53000 , 729 , 0.231506
54000 , 525 , 0.133136
55000 , 689 , 0.236642
56000 , 603 , 0.143407
57000 , 643 , 0.140642
58000 , 875 , 0.229136
59000 , 724 , 0.227555
60000 , 715 , 0.210567
61000 , 786 , 0.203456
62000 , 866 , 0.45432
63000 , 1003 , 0.161975
64000 , 897 , 0.210172
65000 , 935 , 0.314864
66000 , 941 , 0.217679
67000 , 1033 , 0.478815
68000 , 1079 , 0.199506
69000 , 971 , 0.203457
70000 , 946 , 0.171456
71000 , 979 , 0.175802
72000 , 1019 , 0.399407
73000 , 1098 , 0.235061
74000 , 1098 , 0.408494
75000 , 1345 , 0.22558
76000 , 1204 , 0.366222
77000 , 1220 , 0.201481
78000 , 1461 , 0.207012
79000 , 1304 , 0.430222
80000 , 1364 , 0.210963
81000 , 1470 , 0.256395
82000 , 1403 , 0.212148
83000 , 1333 , 0.283259
84000 , 1474 , 0.218469
85000 , 1560 , 0.218074
86000 , 1649 , 0.303407
87000 , 1938 , 0.226766
88000 , 1580 , 0.348049
89000 , 1934 , 0.22795
90000 , 1637 , 0.396642
91000 , 1821 , 0.247703
92000 , 1885 , 0.242567
93000 , 1988 , 0.237827
94000 , 2037 , 0.285629
95000 , 2150 , 0.425877
96000 , 1920 , 0.551901
97000 , 1872 , 0.244543
98000 , 2050 , 0.247309
99000 , 2223 , 0.329481
100000 , 2410 , 0.249678
101000 , 2213 , 0.278518
